가담항설, 길거리나 항간에 떠도는 소문
귤화위지, 귤이 화수를 건너면 탱자가 된다. 문화의 변동
근묵자흑, 먹을 가까이 하면 검어진다. 즉, 나쁜 사람과 사귀면 그 버릇에 물들기 쉽다
금과옥조, 금이나 옥같이 귀중한 법칙이나 규정
금란지계, 친구 사이의 우의가 두터움
금상첨화, 좋고 아름다운 것 위에 더 좋은 것을 더함
금석맹약, 쇠와 돌같이 굳게 맹세해 맺은 약속
금의야행, 비단옷을 입고 밤에 다닌다, 성공은 했지만 아무런 효과를 내지 못하는 것
금의환향, 비단옷을 입고 고향으로 돌아옴. 즉 타향에서 크게 성공하여 자기 집ᄋ 으로 돌아감
금지옥엽, 임금의 자손이나 집안 또는 귀여운 자손을 소중히 일컫는 말
기상천외, 보통 사람이 쉽게 짐작할 수 없을 정도로 엉뚱하고 기발한 생각
난형난제, 누구를 형이라 하고 누구를 동생이라 할지 분간하기 어렵다. 사물의 우열이 없다는 말로 곧 비슷하다는 말
남가일몽, 꿈과 같이 헛된 한때의 헛된 부귀영화
만고풍상, 사는 동안에 겪은 많은 고생
만시지탄, 시기가 늦었음을 안타까워하는 탄식
망양지탄, 잃은 양을 여러 갈래의 길에서 찾지 못하듯, 학문의 길이 여러 갈래여 서 못 미침을 탄식.
망운지정, 자식이 타향에서 부모를 그리는 정
남부여대, 남자는 지고 여자는 인다. 가난에 시달린 사람들이 살 곳을 찾아 떠돌아다니며 사는 것을 말함
내우외환 나라 안팎의 근심 걱정
내유외강, 겉으로는 강하게 보이지만 속은 부드럽다는 말.
노심초사, 몹시 마음을 졸이는 것
녹의홍상, 연두 저고리에 다홍 치마. 곱게 차려 입은 젊은 아가씨의 복색
누란지위, 달걀을 쌓아 놓은 것과 같이 매우 위태함→ 累卵之勢(누란지세)
단순호치, 붉은 입술과 하얀 이. 여자의 아름다운 얼굴을 이르는 말.
명경지수, 거울과 같이 맑고 잔잔한 물. 마음이 고요하고 잡념이 없이 아주 맑고 깨끗함
명약관화, 불을 보는 듯이 환하게 분명히 알 수 있음
목불인견, 차마 눈뜨고 볼 수 없는 참상이나 꼴불견
무위도식, 아무 하는 일 없이 먹기만 함
물심일여, 마음과 형체가 구분됨이 없이 하나로 일치한 상태
단사표음, 도시락 밥과 표주박 물. 변변치 못한 살림을 가리키는 뜻으로 청빈한 
당랑거철, 사마귀가 수레바퀴에 맞섬. 제 분수도 모르고 강적에게 반항함
대의명분, 인류의 큰 의를 밝히고 분수를 지켜 정도에 어긋나지 않도록 하는 것. 
동가홍상, 같은 값이면 다홍치마
동고동락, 괴로움과 즐거움을 함께 함
동량지재, 기둥이나 들보가 될 만한 훌륭한 인재. 한 집이나 한 나라의 큰 일을 맡을 만한 사람
동문서답, 묻는 말에 대하여 전혀 엉뚱한 대답을 하는 것
동병상련, 처지가 서로 비슷한 사람끼리 서로 동정하고 도움
동분서주, 사방으로 이리저리 부산하게 돌아다님
동상이몽, 같은 잠자리에서 다른 꿈을 꿈. 곧 겉으로는 같이 행동하면서 속으로 는 딴 생각을 가짐
등고자비, 1 높은 곳에 이르기 위해서는 낮은 곳부터 밟아야 한다. 일을 하는데는 반드시 차례를 밟아야 한다는 말 2 지위가 높아질수록 스스로를 낮춘다는 말
등하불명, 등잔 밑이 어둡다. 가까이 있는 것이 오히려 알아내기가 어려움
마이동풍, 쇠귀에 마파람, 남의 말을 귀담아 듣지 아니하고 지나쳐 흘려 버림.→ 牛耳誦經(우이송경), 牛耳讀經(우이독경)
막역지우, 참된 마음으로 서로 거역할 수 없이 매우 친한 벗을 말함 
만경창파, 만 갈래의 푸른 물결. 한없이 넓고 푸른 바다
만고풍상, 사는 동안에 격은 많은 고생
만시지탄, 시기가 늦었음을 안타까워 하는 탄식
망양지탄, 잃은 양을 여러 갈래의 길에서 찾지 못하듯, 학문의 길이 여러 갈래여서 못 미침을 탄식
망운지정, 자식이 타향에서 부모를 그리는 정
맥수지탄, 나라를 잃음에 대한 탄식
명경지수, 거울과 같이 맑고 잔잔한 물. 마음이 고요하고 잡념이 없이 아주 맑고 깨끗함
명약관화, 불을 보는 듯이 환하게 분명히 알 수 있음
목불인견, 차마 눈뜨고 볼 수 없는 참상이나 꼴불견
무위도식, 아무 하는 일 없이 먹기만 함
물심일여, 마음과 형체가 구분됨이 없이 하나로 일치한 상태
박장대소, 손바닥을 치면서 크게 웃음
반포지효, 자식이 자라서 부모를 봉양함 생활을 말함
발본색원, 폐단의 근원을 아주 뽑아서 없애 버림
방약무인, 언행이 방자하고 제멋대로 행동하는 사람
백골난망, 죽어도 잊지 못할 큰 은혜를 입음
백년하청, 아무리 기다려도 가망 없는 사태가 바로 잡히기 어려움
백척간두, 위태롭고 어려운 지경에 이름
본말전도, 일의 원줄기를 잊고 사소한 부분에만 사로잡힘
부화뇌동, 제 주견이 없이 남이 하는 대로 그저 무턱대고 따라 함
분골쇄신, 뼈는 가루가 되고 몸은 산산조각이 됨. 목숨을 걸고 최선을 다함
불문곡직, 옳고 그름을 가리지 않고 함부로 일을 처리함
불철주야, 밤낮을 가리지 않음
붕우유신, 벗과 벗은 믿음이 있어야 한다
비분강개, 슬프고 분한 느낌이 마음 속에 가득 차 있음
사면초가, 한 사람도 도우려는 자가 없이 고립되어 곤경에 처해 있음
사상누각, 모래 위에 지은 집. 곧 헛된 것을 비유하는 말
사필귀정, 무슨 일이든지 결국은 옳은 대로 돌아간다는 뜻
산전수전, 산에서의 전투와 물에서의 전투를 다 겪음. 세상일에 경험이 많음
살신성인, 절개를 지켜 목숨을 버림
삼순구식, 한 달에 아홉 끼를 먹을 정도로 매우 빈궁한 생활
삼천지교, 맹자의 어머니가 아들의 교육을 위하여 세 번 거처를 옮겼다는 고사로 생활 환경이 교육에 있어 큰 구실을 함을 말함
상전벽해, 뽕나무밭이 변하여 바다가 된다. 세상일의 변천이 심하여 사물이 바 뀜. → 滄海桑田(창해상전)
새옹지마, 세상일은 복이 될지 화가 될지 예측할 수 없다는 비유
선견지명, 앞일을 미리 보아서 판단하는 총명
선공후사, 공적인 일을 먼저하고 사적인 일을 뒤로 미룸 
선우후락, 세상의 근심할 일은 남보다 먼저 근심하고, 즐거워할 일은 남보다 나 중에 즐거워함. 곧 지사(志)나 어진 사람의 마음씨
설상가상, 눈 위에 또 서리가 덮인다. 불행이 엎친 데 덮친 격으로 거듭 생김이 
설왕설래, 서로 변론(論)을 주고받으며 옥신각신함
수구초심, 여우가 죽을 때 고향 쪽으로 머리를 둔다. 고향을 생각하는 마음 
수신제가, 행실을 닦고 집안을 바로 잡음
수주대토, 달리 변통할 줄 모르고 어리석게 한 가지만 기다리는 융통성 없는 일 
순망치한, 입술이 없으면 이가 시린 것처럼 서로 돕던 이가 망하면 다른 한쪽도 위험하다는 뜻
식자우환, 아는 것이 탈이라는 말로 학식이 있는 것이 도리어 근심을 사게 됨을 말함
신상필벌, 공이 있는 사람에게 반드시 상을 주고, 죄가 있는 사람에게는 반드시 
아비규환, 지옥 같은 고통에 못 견디어 구원을 부르짖는 소리. 심한 참상을 말 함
아전인수, 제논에 물대기, 자기에게 유리하도록 행동하는 것이
안하무인, 눈 아래 사람이 없음. 곧 교만하여 사람을 업신여김
암중모색, 물건을 어둠 속에서 더듬어 찾음, 즉 어림으로 추측함
애이불비, 속으로는 슬퍼하지만 겉으로는 슬픔을 나타내지 아니함
약방감초, 무슨 일이나 빠짐없이 끼임. 반드시 끼어야 할 사물
어부지리, 도요새가 조개를 쪼아 먹으려다가 서로 다투고 있을 때 어부가 와서 둘을 잡아갔다는 고사에서 나온 말. 둘이 다투는 사이에 제삼자가 이득을 보 는 것. 犬兎之爭 (견토지쟁)
어불성설, 말이 이치에 맞지 않음
언어도단, 어처구니가 없어 할 말이 없음
언중유골, 예사로운 말 속에 깊은 뜻이 있는 것을 말함
역지사지, 처지를 바꾸어 생각함
연목구어, 나무에 올라가 고기를 구함. 불가능한 일을 하고자 할 때를 비유
염량세태, 권세가 있을 때는 붙잡고, 권세가 없어지면 푸대접하는 세속의 인심 
오매불망, 밤낮으로 자나 깨나 잊지 못함
오비이락, 까마귀 날자 배 떨어진다. 우연의 일치로 남의 의심을 받는 것
오상고절, 서릿발 날리는 추위에도 굴하지 않고 외로이 지키는 절개, 국화를 말 함
오합지중, 까마귀 떼와 같이 조직도 훈련도 없이 모인 무리
와신상담, 섶에 누워 쓸개를 씹는다는 뜻으로 원수를 갚고자 고생을 참고 견 딤
우문현답, 어리석은 질문에 현명한 대답
우후죽순, 비온 뒤에 죽순이 나듯 어떤 일이 한 때 많이 일어나는 것
유구무언, (입)은 있으나 말이 없다는 뜻으로 변명을 못함을 이름 
유비무환, 미리 준비가 있으면 뒷걱정이 없다는 뜻
음풍농월, 맑은 바람과 밝은 달을 노래함. 풍류를 즐긴다는 뜻
인생무상, 인생이 덧없음을 이르는 말
인지상정, 사람이 누구나 가지는 보통의 인정 
일망무제, 아득하게 멀고 넓어서 끝이 없음
일언지하, 말 한마디로 끊음. 한마디로 딱 잘라 말함 벌을 줌
일장춘몽, 인생의 영화(榮華)는 한바탕의 봄꿈과 같이 헛됨
임기응변, 그때 그때의 일의 형편에 따라서 변통성 있게 처리함
임전무퇴, 싸움에 임하여 물러섬이 없음
자가당착, 자기의 언행이 전후 모순되어 들어맞지 않음
자격지심, 제가 한 일에 대하여 스스로 미흡한 생각을 가짐
자승자박, 자기의 줄로 자기를 묶는다는 말로 자기가 자기를 망치게 한다는 뜻 
자업자득, 자기가 저지른 일의 과보를 자기 자신이 받음
자중지란, 같은 패 안에서 일어나는 싸움
적반하장, 도둑이 도리어 매를 든다는 뜻으로 잘못한 사람이 도리어 잘한 사람 을 나무라는 모습
전대미문, 지금까지 들어본 일이 없는 새로운 일을 이르는 말. 
전전반측, 이리저리 뒤척이며 잠을 이루지 못함
전화위복, 화를 바꾸어 복으로 한다. 궂은 일을 당하였을 때 그것을 잘 처리하 여 좋은 일이 되게 하는 것
절차탁마, 학문과 덕행을 닦음을 가리키는 말
절치부심, 몹시 분하여 이를 갈면서 속을 썩임.
주객전도, 주인은 손님처럼 손님은 주인처럼 행동을 함. 입장이 뒤바뀐 것
주마가편, 달리는 말에 채찍을 더한다는 뜻으로 잘하는 사람에게 더 잘하도록 함
주마간산, 말을 달리면서 산을 본다는 말로 바빠서 자세히 보지 못하고 지나침 을 뜻함
주지육림, 호화를 극한 굉장한 술잔치로 호화로운 생활을 뜻함 
중구난방, 뭇사람의 말을 이루 다 막기는 어렵다는 뜻
중언부언, 한 말을 자꾸 되풀이 함
지기지우, 서로 뜻이 통하는 친한 벗
지동지서, 동으로 갔다 서로 갔다 함. 어떤 일에 주견이 없이 갈팡질팡함을 말 
지리멸렬, 갈가리 흩어지고 찢기어 갈피를 잡을 수 없음
진인사대천명, 노력을 다한 후에 천명을 기다림
진퇴양난, 나아갈 수도 물러설 수도 없는 궁지에 빠짐
천석고황, 고질병이 되다시피 산수 풍경을 좋아함
천의무봉, 천사의 옷은 기울 데가 없다는 말로 곧 문장이 훌륭하여 손댈 곳이 없을 만큼 잘 되었음을 가리킴
천인공노, 하늘과 땅이 함께 분노한다. 도저히 용서 못함을 비유
천재일우, 천 년에나 한번 만날 수 있는 기회, 곧 좀처럼 얻기 어려운 기회
청출어람, 청색은 쪽풀에서 뽑았으나 그 색이 쪽풀보다 더 푸르다. 제자가 스승 보다 낫다는 뜻
초록동색, 서로 같은 처지나 같은 부류의 사람들끼리 함께 함을 이름
촌철살인, 간단한 말로 사물의 가장 요긴한 데를 찔러 듣는 사람을 감동시킴
침소봉대, 바늘을 몽둥이라고 말하듯 과장해서 말하는 것
타산지석, 다른 산에서 난 나쁜 돌도 자기의 구슬을 가는 데에 소용이 된다. 다른 사람의 하찮은 언행일지라도 자기지덕을 연마하는 데에 도움이 된다는 말.
탁상공론 실현성이 없는 허황된 이론
파죽지세, 겉잡을 수 없이 나아가는 세력
포복절도, 배를 안고 몸을 가누지 못할 정도로 몹시 웃음
풍수지탄, 부모가 돌아가신 뒤에 효도 못한 것을 후회함
풍전등화, 바람 앞에 켠 등불, 매우 위급한 경우에 놓여 있음을 가리키는 말
한단지몽, 한단에서 여옹이 낮잠을 자면서 꾼 꿈에서 유래한 말로, 사람의 일 생에서 '부귀란 덧 없다'는 뜻.
함구무언, 입을 다물고 아무런 말이 없음
허무맹랑, 터무니없이 허황되고 실상이 없음
허심탄회, 마음속에 아무런 사념 없이 품은 생각을 터놓고 말함
형설지공, 중국 진나라의 차윤(車胤)이 반딧불로 글을 읽고 손강(孫康)은 눈(雪)의 빛으로 글을 읽었다는 고사에서 온 말로 고생해서 공부한 공이 드러남을 비유 
호가호위, 남의 세력을 빌어 위세를 부림
호연지기, 1 사물에서 해방된 자유로운 마음 2 하늘과 땅 사이에 가득찬 넓 고도 큰 원기
호형호제, 서로 형 아우라 부를 정도로 가까운 친구 사이
화룡점정, 용을 그려 놓고 마지막으로 눈을 그려 넣음. 즉 가장 긴요한 부분을 함 완성함
화중지병, 그림 속의 떡. 바라만 보았지 소용이 닿지 않음을 비유한 말
환골탈태, 1 얼굴이 이전 보다 더 아름다워짐 2 남의 문장을 본떴으나 형식을 바꿈
회자정리, 만나면 반드시 헤어지게 마련임
흥진비래, 즐거운 일이 다하면 슬픔이 옴. 흥망과 성쇠가 엇바뀜을 일컫는 말






